x y1 yerr1 y2 yerr2 y3 yerr3
100 -0.5524703386378398 0.00141145 -0.6955125212344839 0.001171 -0.6549652383804135 0.00047779
200 -0.7703080223380819 0.00187873 -1.129438584214768 0.00774027 -1.3736426429498179 4.8466292e-05
300 -0.7728272784169107 0.00180002 -1.4499672343142074 0.04305704 -2.010254896683822 2.6731233e-05
400 -0.7959860915807756 0.00190716 -1.6115855673177346 0.29918164 -2.792215597074521 4.5273628e-05
500 -0.8820173827517512 0.00230625 -1.5878740798359008 nan -2.638256371577913 1.5309071e-05
600 -0.9286596295986684 0.00272334 -1.6584002744107373 nan -3.281373797578958 3.9236704e-05
700 -0.9442013931363963 0.00207698 -1.7095536810090226 nan -3.463243116390847 3.6206788e-05
800 -1.028821350010481 0.00194096 -1.6122899745138104 nan nan nan
