x y1 y2 y3
0 -0.5623774729946713 -0.028094697688590353 -0.7085766428523964
1 -0.6103808554564594 -0.06266315641316413 -0.7308175186158364
2 -0.6432811311861678 -0.1488033660851924 -0.724500227340206
3 -0.6473671301788697 -0.2405708951868142 -0.7469802677630017
4 -0.683252033032314 -0.32234623787335775 -0.8167065531420329
5 -0.6955617673408435 -0.4019395035625917 -0.7961620704397111
6 -0.7709912658874551 -0.4229701003148571 -0.8169777462675178
7 -0.7379284686704957 -0.5104612627005826 -0.8265345375550883
8 -0.7683488638845437 -0.6147956549414988 -0.8164019618667356
9 -0.7533844401914861 -0.6181056619535803 -0.8313419896841522
10 -0.8006873256878453 -0.6758750283673455 -0.8338543867855779
11 -0.7791983146730912 -0.7088979101850108 -0.8502998065607954
12 -0.812168715696676 -0.77403743415674 -0.8734275050465377
13 -0.8199358567157706 -0.7104042103817482 -0.8822829736791855
14 -0.8129927493868815 -0.7468017879530312 -0.8856739999832656
15 -0.8500842654427252 -0.7819774501989494 -0.8788854780665478
16 -0.8445488896647155 -0.818989586272674 -0.9128479761779454
17 -0.8364749761005887 -0.8612867117280696 -0.8980436397134512
18 -0.8586636788805286 -0.8580478197761431 -0.9217241636921968
19 -0.8743690268523109 -0.8624028125599044 -0.9502377219757173
20 -0.8754090175595106 -0.8740737957664763 -0.9510964235709161
21 -0.8641251098265077 -0.8566193865636066 -0.9290887019677699
22 -0.8898740641379717 -0.8986224579282072 -0.9155897612031786
23 -0.9119538042290446 -0.8829062043868245 -0.9541381116807599
24 -0.8698466084108277 -0.9121781565511938 -0.9601742090001935
25 -0.912930718664352 -0.9207370136405315 -0.9537196008982021
26 -0.8813655877794985 -0.9222720921633586 -0.968678310042217
27 -0.8878682400350866 -0.933071293024084 -1.0086282152933645
28 -0.8925607589895581 -0.9380642329962823 -0.9591174671991602
29 -0.9048594194896622 -0.9562260687688986 -0.9896280762573487
30 -0.9237432796564145 -0.9617718331015227 -0.9756654320211833
31 -0.9168445456954931 -0.9415421873438248 -0.9988107397929076
32 -0.9019685974907578 -0.9756440996202091 -1.0119134051652956
33 -0.9011777867244901 -1.0271955540308744 -0.9779909166596592
34 -0.928573207164437 -0.9925481538481927 -0.9937268663898584
35 -0.9570687213788596 -0.9938099966894992 -1.0149371647143246
36 -0.9199466135601466 -0.986144856209714 -1.065381055732507
37 -0.9605051431817101 -1.055381323482737 -1.0239915995257252
38 -0.9566675633968031 -1.0109073335108996 -1.0440750471950537
39 -0.9643991856877263 -1.0163927892329512 -1.0232094597623103
40 -0.9489338617215616 -1.0160708837970378 -1.0940330617348146
41 -0.9300629809386086 -1.0312597444879068 -1.0059060615836004
42 -0.9853388926229145 -1.0376755747484556 -1.044277660674484
43 -1.0037134172212132 -1.0301511023448366 -1.0941174301903882
44 -0.9860884908508998 -1.0246713972702446 -1.0362538586903343
45 -1.0060754465170811 -1.0257098605759385 -1.0716108298214733
46 -1.0300450093462445 -1.0322929124018336 -1.0915657876273797
47 -1.013668414045588 -1.0414380325429033 -1.1068956667846277
48 -0.9726033314418314 -1.0612763235298222 -1.116967807697127
49 -0.994216390048965 -1.069699605389692 -1.1050564541323566
50 -1.0027939202565581 -1.0630025802270753 -1.1406445434457977
51 -0.9905370385290762 -1.0559957978828955 -1.075571349664704
52 -0.9828476643199586 -1.0781354290457232 -1.1141733202341746
53 -0.9815433200380674 -1.0910342436211753 -1.1239627607904903
54 -0.9890488577058156 -1.0621226894958562 -1.150179525978686
55 -1.0098933261281957 -1.0821335770605793 -1.1759393349881702
56 -0.9951301507549252 -1.1203651553799312 -1.1571658567276564
57 -0.9628794206482625 -1.1006923889245954 -1.1696202478706181
58 -0.9905447419410989 -1.069625461141194 -1.1703001559658772
59 -1.0341409768513279 -1.1135590954830055 -1.1702475419833687
60 -1.033351805798311 -1.1395228549016494 -1.1786624710120188
61 -1.0868916516353813 -1.0867756665722497 -1.145767453948278
62 -1.0214294667922024 -1.1035714139927468 -1.2174682638904033
63 -1.0606352816127542 -1.1651204537389703 -1.1971002544544587
64 -1.0353487405488373 -1.1414073334523405 -1.2338281358953218
65 -1.0277928703467707 -1.1214972226029447 -1.2175083926436112
66 -1.0181778067178866 -1.1896683886552246 -1.2854661032959944
67 -1.1023631697192926 -1.1902310888406655 -1.1976222583178406
68 -1.03965088072908 -1.1412386076009668 -1.2115129853281272
69 -1.0019575482362555 -1.1751035023786827 -1.2815287397681
70 -1.0564877002317699 -1.1310247412215577 -1.3367854173585276
71 -1.0723281389389856 -1.2113048569673204 -1.296068230883036
72 -1.0928096578402275 -1.1851356201874612 -1.3213988280196136
73 -1.0526694474700946 -1.1468640816271751 -1.2669258732613036
74 -1.0729336187455754 -1.1745351390554577 -1.2675284979255708
75 -1.014267163730016 -1.1241817270264527 -1.2683782140623654
76 -1.067671424526473 -1.1274660769118454 -1.2268558135257313
77 -1.100824964571621 -1.1651296175154093 -1.3060965375748055
78 -1.0873133969740774 -1.1730603619806947 -1.3376459024646297
79 -1.114843820989016 -1.1840153323333678 -1.312784198986264
80 -1.1286334876912527 -1.1776853106730967 -1.2731535944604588
81 -1.0969470554287064 -1.2734552791297422 -1.4008739763819467
82 -1.0722683673749356 -1.2198044361160443 -1.3740572363362318
83 -1.0823437378638299 -1.2421105067687455 -1.3314565145258506
84 -1.0755113783581245 -1.2045995383216774 -1.3565973469197599
85 -1.1186938345882653 -1.2157206364338262 -1.372827555823661
86 -1.091716071671895 -1.338317468220683 -1.322641987064877
87 -1.1133410752486057 -1.2424172344746156 -1.392181897339872
88 -1.1194966234738313 -1.2051754859709152 -1.4098552930071728
89 -1.1104184775176227 -1.2691319057443344 -1.3187659539789007
90 -1.1294488150326263 -1.3068450020755413 -1.3320992084558614
91 -1.1550461748879146 -1.2140170552584542 -1.395054599786214
92 -1.1418333328041794 -1.2782211785205426 -1.3836039242044982
93 -1.1350632929783062 -1.1934300798866704 -1.407628123289673
94 -1.1105826067019304 -1.2327121084872723 -1.4541192920891055
95 -1.162858547790659 -1.324430263798819 -1.377815034153523
96 -1.169052324177563 -1.3011034453303472 -1.3639454689211747
97 -1.0872357519870715 -1.3429281198006533 -1.3319326969893397
98 -1.1293189929981207 -1.27100537954357 -1.400158225159649
99 -1.1035658940088238 -1.2079572123958089 -1.4806867865082687
