x y12 y16 y24 y32
0 -0.025151773393733104 -0.025331003219196964 -0.02488112945368206 -0.02500670030823304
1 -0.024717143342060172 -0.025327577032892814 -0.025037390190990452 -0.025124436256236612
2 -0.024771916389611563 -0.025351998337420224 -0.025046002938457997 -0.02516266497687681
3 -0.024711224313808195 -0.025444684605113718 -0.025094620847618113 -0.02518614313237212
4 -0.02483057818968816 -0.02535337358908603 -0.025151421202276553 -0.025264728776930007
5 -0.025069214707231644 -0.025445507138521336 -0.025157262480579774 -0.02533066859690494
6 -0.025062361347673576 -0.02545951800787646 -0.025290464544022062 -0.025421305653340345
7 -0.025055839220569462 -0.025553260584458826 -0.02531942403600089 -0.025483604754264113
8 -0.025135193691275617 -0.02551717190165736 -0.02539289035929375 -0.02552444928069747
9 -0.02522112211064761 -0.025502610654589697 -0.02540164927226833 -0.025905440622241635
10 -0.02521484944477877 -0.025508845632798607 -0.025480549123405295 -0.02553289473728475
11 -0.025158872850984344 -0.025574474418972128 -0.025449357779512457 -0.025604995942374798
12 -0.025396078782514944 -0.025542290870040747 -0.025566293017276327 -0.02558290040987915
13 -0.025304329707626055 -0.025590055708023935 -0.025626162333906244 -0.025694564547489543
14 -0.02531240312317601 -0.025553038591888413 -0.025444027660544023 -0.025715239138299317
15 -0.025452984393323923 -0.025646134134308097 -0.025549470103948313 -0.025665703981549104
16 -0.025466187246322977 -0.025722281851732805 -0.02564894587559652 -0.02576386055750668
17 -0.025423473477421996 -0.025733326802670233 -0.02571347611175368 -0.025731812438590386
18 -0.025437276766563224 -0.02580265082276628 -0.025744052572103757 -0.025719104019564967
19 -0.025513184053984853 -0.025725525515208538 -0.02564547333534092 -0.025782508077133677
20 -0.025544795936586106 -0.02577975849949439 -0.025701642948540264 -0.02573666088031018
21 -0.025507767763729577 -0.02582539908650823 -0.025699871089924126 -0.025805126498457905
22 -0.025588156024517982 -0.02585753413957911 -0.025793946232430406 -0.025728789097156035
23 -0.025618425386958563 -0.025913828818260244 -0.025726945597110005 -0.02581594392896034
24 -0.025448238548704663 -0.02591329041172862 -0.025777055097662063 -0.02587399950358455
25 -0.025662206388577618 -0.025989061454979298 -0.02567860021556934 -0.025907037237296537
26 -0.025637244059738377 -0.025952959584207843 -0.025747198834660756 -0.025847581503304587
27 -0.025544022247023592 -0.02604471856723919 -0.025850051727943628 -0.025886198757980462
28 -0.0257263420564567 -0.025975156875946405 -0.02589799119886392 -0.025881608094295596
29 -0.025675203616168003 -0.026030751508362246 -0.02576417675220016 -0.025935023196836673
30 -0.025762697179070673 -0.02598263921859717 -0.02588980949554938 -0.025983308556167733
31 -0.02572519130595104 -0.026075081550385595 -0.0259410945045502 -0.025881437418166377
32 -0.025752438937824133 -0.02616304520606292 -0.025849229564846463 -0.025928699223221455
33 -0.025785944191251804 -0.026137519677200006 -0.02599608041725361 -0.02596949635388801
34 -0.025766204674548585 -0.026023359298750822 -0.02594317755629061 -0.025972066218731563
35 -0.02573459949256843 -0.02601604178055736 -0.025883310824024546 -0.026006665498666516
36 -0.025758570447711498 -0.02612426727913826 -0.025921862248588882 -0.026052192028440474
37 -0.025783915265841843 -0.026112305618139334 -0.025929732770416002 -0.026076827267811617
38 -0.02572561850761146 -0.02611104924810489 -0.025999200728884522 -0.025980235833000978
39 -0.025892322244300898 -0.026097946443229915 -0.025907920654105354 -0.026029149472327047
40 -0.025874203411526922 -0.026094157718489067 -0.025983351686777133 -0.026037990429636112
41 -0.02580410824101427 -0.02607204742615378 -0.026021755784211335 -0.02604154838081449
42 -0.025853230011294078 -0.026172527652223956 -0.02602788570301142 -0.02593736090824046
43 -0.02587705405468824 -0.026084547953307637 -0.026038294817852456 -0.026044631687279964
44 -0.025917366692503555 -0.026078063441546485 -0.02600355909341264 -0.026058262212520833
45 -0.025798883821966614 -0.026180726481947497 -0.025947844234369435 -0.026070990196587547
46 -0.025911949094781325 -0.026194345742066916 -0.026028272088511925 -0.026125123000368025
47 -0.025888438267530758 -0.026213684174204846 -0.02606881152864589 -0.026045469102688214
48 -0.025982551282963822 -0.0261998646330502 -0.026102583333530986 -0.02633229464168821
49 -0.02590454991315605 -0.02626974106138478 -0.02601595431502123 -0.026361788419507832
50 -0.0260584766945927 -0.026219839492157473 -0.026008802592359173 -0.026233255286337888
51 -0.025953232541931073 -0.026205119338676433 -0.026114895904139138 -0.026163828387351686
52 -0.026106563704520667 -0.02625339946434309 -0.026097894823417633 -0.026143572974212964
53 -0.02602095575049354 -0.02621094666736741 -0.026053245522774646 -0.026070729326105904
54 -0.026001315249495872 -0.026318105918394053 -0.0260614091186837 -0.026187587285744114
55 -0.025967910415181934 -0.026301931305312987 -0.026147734612504383 -0.02617238727828726
56 -0.02599341821749337 -0.026276660791744667 -0.026122754415938185 -0.026140680132089634
57 -0.026005242757909105 -0.026349912672175818 -0.02615029198273829 -0.02614023908695026
58 -0.02614486951837148 -0.02628663159742821 -0.026102498766122986 -0.026214272063475055
59 -0.026148156131696364 -0.026317491830327933 -0.02617887408743753 -0.026265202122416478
60 -0.026001752055271842 -0.02632141846487912 -0.026084794601511266 -0.02617872239086291
61 -0.026068495543832646 -0.026323369654899953 -0.026126300946016773 -0.026213914845687636
62 -0.026049385383055988 -0.026237151752856583 -0.026144797919505178 -0.026264277597951913
63 -0.026030300618690345 -0.026385533269651873 -0.026158163502773765 -0.026249896449989568
64 -0.026085495522612336 -0.026272809366742884 -0.026123687535639522 -0.0262554172294271
65 -0.02605949373450905 -0.026371400758689198 -0.02619998412835907 -0.026331354816223857
66 -0.02610932658851976 -0.026387888131006954 -0.026107503852121315 -0.02630475015717364
67 -0.026089200936596394 -0.026420909984978994 -0.02606519953851684 -0.02627464125997249
68 -0.026136737040836425 -0.02645838805226887 -0.02614622298340065 -0.026297549498952945
69 -0.026185355388576623 -0.026425906768916214 -0.026116767116919112 -0.026259686977696563
70 -0.026166216273512465 -0.02640346796375599 -0.026226132562658027 -0.026220959612325075
71 -0.026171513806252836 -0.026371245079203572 -0.026255422915871376 -0.026204768140431545
72 -0.026202290014163663 -0.02636993032099181 -0.02619191269219643 -0.02626926755650762
73 -0.026199242552418955 -0.026410256297191792 -0.02615406289547086 -0.026323166358752523
74 -0.02620061855168747 -0.0264271227843506 -0.026188669861257816 -0.026253059721570545
75 -0.026121361505359708 -0.026462985461741053 -0.026144503867959707 -0.026275252527746353
76 -0.026162965140693925 -0.026510458001068833 -0.02623425193000242 -0.026318189498986788
77 -0.026243153161201654 -0.026396172111717728 -0.02626369673384704 -0.026316115507787764
78 -0.026176447889925486 -0.026476566175993158 -0.02619854276097129 -0.02629688507590007
79 -0.02620329933476593 -0.02642130275604715 -0.02615494716807912 -0.026326460489310297
80 -0.026277393012697922 -0.02635531662097364 -0.026245851293466953 -0.026334771159518235
81 -0.026225314742615535 -0.02651054648048286 -0.026184740057184432 -0.026309033322911315
82 -0.026188824051971427 -0.02643582983465368 -0.02623616666886311 -0.026327022835151977
83 -0.0261844776188444 -0.026474662949598295 -0.026190202139580083 -0.02640336178565247
84 -0.026228188075519715 -0.02643226745954243 -0.026208577728997165 -0.026354396974242175
85 -0.026170860777101304 -0.026448311473050257 -0.026336415014123135 -0.026274453122785802
86 -0.02621037942387762 -0.026427712844689456 -0.026269704387579314 -0.02629221570335055
87 -0.026176135397633957 -0.02642649645035039 -0.026315125764980938 -0.026344254009234288
88 -0.02620589195500588 -0.0263917713081972 -0.026234651154755824 -0.02628853680605825
89 -0.0261927964473111 -0.026503632487992413 -0.02629380053455166 -0.026323801566127264
90 -0.026272810417381984 -0.02648001617235801 -0.026313207766308206 -0.02636771159500432
91 -0.026181301234976626 -0.026426635992498934 -0.026263081882444667 -0.026376512791207687
92 -0.026297498680624327 -0.026465771319522286 -0.026283004123698946 -0.026430312171618578
93 -0.026333478265589225 -0.026431398871082503 -0.026261815663968967 -0.02638289058533044
94 -0.026290688873269998 -0.02645638486020051 -0.026376363781758557 -0.02633067033250557
95 -0.026249893561707753 -0.026431533410420417 -0.02633454248354223 -0.02624621563138063
96 -0.02631468884486044 -0.02651273796522113 -0.02633359671804859 -0.026008995022158057
97 -0.02619863969548053 -0.02647645863219544 -0.02634590961148746 -0.02588740692884898
98 -0.026213978536285612 -0.02649199610622195 -0.026348391453471127 -0.025817648848582977
99 -0.0263052725351782 -0.026538160966767567 -0.02632395406414017 -0.02575266535078935
