x y z
-0.3125 0.00694444444444442 1.0493549405309568e-07
-0.3090277777777778 0.00347222222222221 3.1480648215928703e-07
-0.3090277777777778 0.024305555555555525 1.0493549405309568e-07
-0.3055555555555556 0.00694444444444442 1.0493549405309568e-07
-0.3055555555555556 0.013888888888888895 1.0493549405309568e-07
-0.3055555555555556 0.020833333333333315 3.1480648215928703e-07
-0.3020833333333333 -0.05208333333333334 1.0493549405309568e-07
-0.3020833333333333 -0.02430555555555558 4.197419762123827e-07
-0.3020833333333333 0.00347222222222221 1.0493549405309568e-07
-0.3020833333333333 0.01041666666666663 2.0987098810619135e-07
-0.3020833333333333 0.024305555555555525 1.0493549405309568e-07
-0.2986111111111111 -0.0625 3.1480648215928703e-07
-0.2986111111111111 -0.04861111111111113 1.0493549405309568e-07
-0.2986111111111111 -0.041666666666666685 2.0987098810619135e-07
-0.2986111111111111 -0.02777777777777779 1.0493549405309568e-07
-0.2986111111111111 -0.020833333333333343 3.1480648215928703e-07
-0.2986111111111111 -0.013888888888888895 4.197419762123827e-07
-0.2986111111111111 0.0 1.0493549405309568e-07
-0.2986111111111111 0.013888888888888895 5.246774702654784e-07
-0.2986111111111111 0.020833333333333315 2.0987098810619135e-07
-0.2986111111111111 0.02777777777777779 1.0493549405309568e-07
-0.2951388888888889 -0.06597222222222224 1.0493549405309568e-07
-0.2951388888888889 -0.05902777777777779 1.0493549405309568e-07
-0.2951388888888889 -0.05208333333333334 6.296129643185741e-07
-0.2951388888888889 -0.045138888888888895 6.296129643185741e-07
-0.2951388888888889 -0.03819444444444445 1.0493549405309568e-07
-0.2951388888888889 -0.03125 2.0987098810619135e-07
-0.2951388888888889 -0.02430555555555558 3.1480648215928703e-07
-0.2951388888888889 -0.017361111111111133 1.0493549405309568e-07
-0.2951388888888889 -0.010416666666666685 2.0987098810619135e-07
-0.2951388888888889 -0.0034722222222222376 4.197419762123827e-07
-0.2951388888888889 0.00347222222222221 1.0493549405309568e-07
-0.2951388888888889 0.01041666666666663 1.0493549405309568e-07
-0.2951388888888889 0.017361111111111105 1.0493549405309568e-07
-0.2951388888888889 0.024305555555555525 1.0493549405309568e-07
-0.2951388888888889 0.03125 5.246774702654784e-07
-0.2951388888888889 0.03819444444444442 3.1480648215928703e-07
-0.2951388888888889 0.045138888888888895 2.0987098810619135e-07
-0.2916666666666667 -0.06944444444444445 3.1480648215928703e-07
-0.2916666666666667 -0.05555555555555558 1.0493549405309568e-07
-0.2916666666666667 -0.04861111111111113 2.0987098810619135e-07
-0.2916666666666667 -0.03472222222222224 3.1480648215928703e-07
-0.2916666666666667 -0.02777777777777779 4.197419762123827e-07
-0.2916666666666667 -0.0069444444444444475 3.1480648215928703e-07
-0.2916666666666667 0.0 5.246774702654784e-07
-0.2916666666666667 0.013888888888888895 2.0987098810619135e-07
-0.2916666666666667 0.020833333333333315 5.246774702654784e-07
-0.2916666666666667 0.02777777777777779 1.4690969167433395e-06
-0.2916666666666667 0.03472222222222221 1.0493549405309568e-07
-0.2881944444444444 -0.07291666666666669 1.0493549405309568e-07
-0.2881944444444444 -0.06597222222222224 1.0493549405309568e-07
-0.2881944444444444 -0.05208333333333334 3.1480648215928703e-07
-0.2881944444444444 -0.045138888888888895 3.1480648215928703e-07
-0.2881944444444444 -0.017361111111111133 5.246774702654784e-07
-0.2881944444444444 -0.010416666666666685 5.246774702654784e-07
-0.2881944444444444 -0.0034722222222222376 1.0493549405309568e-07
-0.2881944444444444 0.00347222222222221 2.0987098810619135e-07
