x y z
-0.3055555555555556 -0.013888888888888895 1.0479473645381319e-07
-0.3020833333333333 -0.03819444444444445 2.0958947290762638e-07
-0.3020833333333333 -0.03125 1.0479473645381319e-07
-0.3020833333333333 -0.02430555555555558 1.0479473645381319e-07
-0.3020833333333333 -0.010416666666666685 3.1438420936143955e-07
-0.3020833333333333 0.01041666666666663 1.0479473645381319e-07
-0.3020833333333333 0.017361111111111105 1.0479473645381319e-07
-0.3020833333333333 0.052083333333333315 1.0479473645381319e-07
-0.3020833333333333 0.059027777777777735 1.0479473645381319e-07
-0.2986111111111111 -0.03472222222222224 1.0479473645381319e-07
-0.2986111111111111 -0.013888888888888895 1.0479473645381319e-07
-0.2986111111111111 -0.0069444444444444475 1.0479473645381319e-07
-0.2986111111111111 0.0 2.0958947290762638e-07
-0.2986111111111111 0.013888888888888895 3.1438420936143955e-07
-0.2986111111111111 0.020833333333333315 3.1438420936143955e-07
-0.2986111111111111 0.03472222222222221 3.1438420936143955e-07
-0.2986111111111111 0.0763888888888889 1.0479473645381319e-07
-0.2951388888888889 -0.045138888888888895 4.1917894581525276e-07
-0.2951388888888889 -0.03125 3.1438420936143955e-07
-0.2951388888888889 -0.02430555555555558 1.0479473645381319e-07
-0.2951388888888889 -0.010416666666666685 3.1438420936143955e-07
-0.2951388888888889 0.00347222222222221 4.1917894581525276e-07
-0.2951388888888889 0.01041666666666663 5.23973682269066e-07
-0.2951388888888889 0.017361111111111105 3.1438420936143955e-07
-0.2951388888888889 0.03125 6.287684187228791e-07
-0.2951388888888889 0.03819444444444442 4.1917894581525276e-07
-0.2951388888888889 0.045138888888888895 4.1917894581525276e-07
-0.2951388888888889 0.059027777777777735 6.287684187228791e-07
-0.2916666666666667 -0.041666666666666685 2.0958947290762638e-07
-0.2916666666666667 -0.03472222222222224 6.287684187228791e-07
-0.2916666666666667 -0.02777777777777779 3.1438420936143955e-07
-0.2916666666666667 -0.020833333333333343 2.0958947290762638e-07
-0.2916666666666667 -0.013888888888888895 5.23973682269066e-07
