x y yerr
0 0.278380690579209 0.00041826604085673513
1 0.0 0.0
2 0.10494977525024353 0.0008885261187300264
3 0.05313667390259698 6.457727878050185e-05
4 0.09570622716434501 0.0005947406106985575
5 0.060139638963482914 0.0006534694970683833
6 0.09273053611985246 0.0020324310661905473
7 0.061993735964462435 0.0012549791762990065
8 0.09148079471519 0.001186051978586393
9 0.06198870877080191 7.145565428266776e-06
10 0.09054422454840641 0.00019593159961732443
11 0.06436708223641724 0.00019029725965944572
12 0.08907315605762418 0.0008885395653834283
13 0.06478362588645165 0.0009041368734690053
14 0.08895766414628942 0.00206457484349086
15 0.06409062419506784 0.0015412881059611097
16 0.08931112496060359 0.001464504566474352
