x y z
-0.2986111111111111 -0.0763888888888889 3.502146115139357e-08
-0.2951388888888889 -0.07986111111111113 7.004292230278714e-08
-0.2916666666666667 -0.08333333333333334 3.502146115139357e-08
-0.2916666666666667 -0.0763888888888889 2.45150228059755e-07
-0.2881944444444444 0.017361111111111105 3.502146115139357e-08
-0.2847222222222222 -0.0763888888888889 3.502146115139357e-08
-0.2847222222222222 -0.03472222222222224 3.502146115139357e-08
-0.2847222222222222 -0.02777777777777779 1.4008584460557429e-07
-0.2847222222222222 0.00694444444444442 7.004292230278714e-08
-0.2847222222222222 0.013888888888888895 7.004292230278714e-08
-0.2847222222222222 0.020833333333333315 7.004292230278714e-08
-0.2847222222222222 0.02777777777777779 1.0506438345418073e-07
-0.2847222222222222 0.048611111111111105 1.4008584460557429e-07
-0.2847222222222222 0.06944444444444442 7.004292230278714e-08
-0.28125 -0.07291666666666669 3.502146115139357e-08
-0.28125 -0.045138888888888895 1.4008584460557429e-07
-0.28125 -0.03819444444444445 3.502146115139357e-08
-0.28125 -0.03125 2.45150228059755e-07
-0.28125 -0.02430555555555558 7.004292230278714e-08
-0.28125 -0.010416666666666685 7.004292230278714e-08
-0.28125 -0.0034722222222222376 1.0506438345418073e-07
-0.28125 0.01041666666666663 2.1012876690836145e-07
-0.28125 0.017361111111111105 1.4008584460557429e-07
-0.28125 0.024305555555555525 1.0506438345418073e-07
-0.28125 0.03819444444444442 1.0506438345418073e-07
-0.28125 0.045138888888888895 7.004292230278714e-08
-0.28125 0.052083333333333315 2.8017168921114857e-07
-0.28125 0.059027777777777735 7.004292230278714e-08
-0.28125 0.06597222222222221 7.004292230278714e-08
-0.2777777777777778 -0.1111111111111111 3.502146115139357e-08
-0.2777777777777778 -0.0763888888888889 1.0506438345418073e-07
-0.2777777777777778 -0.06944444444444445 1.4008584460557429e-07
-0.2777777777777778 -0.0625 1.7510730575696786e-07
-0.2777777777777778 -0.04861111111111113 2.1012876690836145e-07
-0.2777777777777778 -0.041666666666666685 1.0506438345418073e-07
-0.2777777777777778 -0.03472222222222224 7.004292230278714e-08
-0.2777777777777778 -0.02777777777777779 3.852360726653293e-07
-0.2777777777777778 -0.020833333333333343 3.852360726653293e-07
-0.2777777777777778 -0.013888888888888895 7.004292230278714e-08
-0.2777777777777778 -0.0069444444444444475 4.9030045611951e-07
-0.2777777777777778 0.0 2.45150228059755e-07
-0.2777777777777778 0.00694444444444442 3.502146115139357e-07
-0.2777777777777778 0.013888888888888895 2.1012876690836145e-07
-0.2777777777777778 0.020833333333333315 1.4008584460557429e-07
-0.2777777777777778 0.02777777777777779 2.1012876690836145e-07
-0.2777777777777778 0.03472222222222221 2.45150228059755e-07
-0.2777777777777778 0.04166666666666663 3.502146115139357e-08
-0.2777777777777778 0.048611111111111105 3.502146115139357e-08
-0.2777777777777778 0.055555555555555525 7.004292230278714e-08
-0.2743055555555556 -0.11458333333333334 3.502146115139357e-08
-0.2743055555555556 -0.1076388888888889 7.004292230278714e-08
-0.2743055555555556 -0.07986111111111113 1.0506438345418073e-07
-0.2743055555555556 -0.07291666666666669 7.004292230278714e-08
-0.2743055555555556 -0.06597222222222224 2.45150228059755e-07
-0.2743055555555556 -0.05902777777777779 7.004292230278714e-08
-0.2743055555555556 -0.05208333333333334 3.502146115139357e-08
-0.2743055555555556 -0.045138888888888895 1.7510730575696786e-07
-0.2743055555555556 -0.03819444444444445 1.7510730575696786e-07
-0.2743055555555556 -0.03125 1.7510730575696786e-07
-0.2743055555555556 -0.02430555555555558 3.1519315036254217e-07
-0.2743055555555556 -0.017361111111111133 5.603433784222971e-07
-0.2743055555555556 -0.010416666666666685 2.1012876690836145e-07
-0.2743055555555556 -0.0034722222222222376 3.502146115139357e-07
-0.2743055555555556 0.00347222222222221 2.1012876690836145e-07
-0.2743055555555556 0.01041666666666663 4.5527899496811645e-07
-0.2743055555555556 0.017361111111111105 2.45150228059755e-07
-0.2743055555555556 0.024305555555555525 2.45150228059755e-07
-0.2743055555555556 0.03125 4.9030045611951e-07
-0.2743055555555556 0.03819444444444442 3.852360726653293e-07
-0.2743055555555556 0.045138888888888895 1.0506438345418073e-07
-0.2743055555555556 0.052083333333333315 2.8017168921114857e-07
-0.2743055555555556 0.059027777777777735 4.9030045611951e-07
-0.2743055555555556 0.06597222222222221 2.1012876690836145e-07
-0.2743055555555556 0.07291666666666663 1.4008584460557429e-07
-0.2743055555555556 0.0798611111111111 1.4008584460557429e-07
-0.2708333333333333 -0.1111111111111111 1.0506438345418073e-07
-0.2708333333333333 -0.10416666666666669 3.502146115139357e-08
-0.2708333333333333 -0.09027777777777779 3.502146115139357e-08
-0.2708333333333333 -0.0763888888888889 3.502146115139357e-08
-0.2708333333333333 -0.06944444444444445 1.0506438345418073e-07
-0.2708333333333333 -0.0625 2.8017168921114857e-07
-0.2708333333333333 -0.05555555555555558 1.7510730575696786e-07
-0.2708333333333333 -0.04861111111111113 4.202575338167229e-07
-0.2708333333333333 -0.041666666666666685 5.953648395736907e-07
-0.2708333333333333 -0.03472222222222224 2.8017168921114857e-07
-0.2708333333333333 -0.02777777777777779 3.852360726653293e-07
-0.2708333333333333 -0.020833333333333343 6.303863007250843e-07
-0.2708333333333333 -0.013888888888888895 8.755365287848393e-07
-0.2708333333333333 -0.0069444444444444475 6.303863007250843e-07
-0.2708333333333333 0.0 1.1907296791473815e-06
-0.2708333333333333 0.00694444444444442 4.9030045611951e-07
-0.2708333333333333 0.013888888888888895 1.1206867568445943e-06
-0.2708333333333333 0.020833333333333315 5.953648395736907e-07
-0.2708333333333333 0.02777777777777779 4.202575338167229e-07
-0.2708333333333333 0.03472222222222221 5.603433784222971e-07
-0.2708333333333333 0.04166666666666663 2.8017168921114857e-07
-0.2708333333333333 0.048611111111111105 4.5527899496811645e-07
-0.2708333333333333 0.055555555555555525 1.4008584460557429e-07
-0.2708333333333333 0.0625 1.0506438345418073e-07
-0.2708333333333333 0.06944444444444442 1.7510730575696786e-07
-0.2708333333333333 0.0763888888888889 2.45150228059755e-07
-0.2708333333333333 0.08333333333333331 7.004292230278714e-08
-0.2708333333333333 0.09027777777777773 3.502146115139357e-08
-0.2673611111111111 -0.11458333333333334 3.502146115139357e-08
-0.2673611111111111 -0.1076388888888889 3.502146115139357e-08
-0.2673611111111111 -0.10069444444444445 1.0506438345418073e-07
-0.2673611111111111 -0.07291666666666669 3.502146115139357e-08
-0.2673611111111111 -0.06597222222222224 1.4008584460557429e-07
-0.2673611111111111 -0.05902777777777779 2.8017168921114857e-07
-0.2673611111111111 -0.05208333333333334 3.1519315036254217e-07
-0.2673611111111111 -0.045138888888888895 3.852360726653293e-07
-0.2673611111111111 -0.03819444444444445 2.8017168921114857e-07
-0.2673611111111111 -0.03125 7.35450684179265e-07
-0.2673611111111111 -0.02430555555555558 9.8060091223902e-07
-0.2673611111111111 -0.017361111111111133 1.47090136835853e-06
-0.2673611111111111 -0.010416666666666685 1.6109872129641044e-06
-0.2673611111111111 -0.0034722222222222376 1.2957940626015622e-06
-0.2673611111111111 0.00347222222222221 1.5759657518127107e-06
-0.2673611111111111 0.01041666666666663 1.5759657518127107e-06
-0.2673611111111111 0.017361111111111105 1.1907296791473815e-06
-0.2673611111111111 0.024305555555555525 1.155708217995988e-06
-0.2673611111111111 0.03125 6.303863007250843e-07
-0.2673611111111111 0.03819444444444442 6.654077618764779e-07
-0.2673611111111111 0.045138888888888895 7.35450684179265e-07
-0.2673611111111111 0.052083333333333315 7.004292230278714e-07
-0.2673611111111111 0.059027777777777735 8.054936064820522e-07
-0.2673611111111111 0.06597222222222221 1.0506438345418073e-07
-0.2673611111111111 0.07291666666666663 1.0506438345418073e-07
-0.2673611111111111 0.0798611111111111 7.004292230278714e-08
-0.2638888888888889 -0.1111111111111111 3.502146115139357e-08
-0.2638888888888889 -0.10416666666666669 1.4008584460557429e-07
-0.2638888888888889 -0.09722222222222224 3.502146115139357e-08
-0.2638888888888889 -0.08333333333333334 1.0506438345418073e-07
-0.2638888888888889 -0.0763888888888889 1.0506438345418073e-07
-0.2638888888888889 -0.06944444444444445 1.0506438345418073e-07
-0.2638888888888889 -0.0625 1.7510730575696786e-07
